Medicine Type,Medicine name,Dosage,Composition
Capsule,Ranitidine,50 mg,Loperamide Hydrochloride 50 mg
Ointment,Ranitidine,3 ml,Diphenhydramine HCl + Ammonium Chloride 3 ml
Ointment,Paracetamol,20 mg,Ibuprofen 20 mg
Drops,Aspirin,1000 mg,Ciprofloxacin 1000 mg
Syrup,Ascoril,1000 mg,Omeprazole 1000 mg
Drops,Aspirin,10 mg,Levocetirizine Dihydrochloride 10 mg
Ointment,Ascoril,75 mg,Paracetamol 75 mg
Ointment,Insulin,500 mg,Paracetamol 500 mg
Ointment,Domperidone,500 mg,Cetirizine Dihydrochloride 500 mg
Capsule,Benadryl,100 ml,Bromhexine + Guaiphenesin + Terbutaline 100 ml
Capsule,Metformin,100 ml,Levocetirizine Dihydrochloride 100 ml
Tablet,Metformin,20 mg,Cetirizine Dihydrochloride 20 mg
Ointment,Ibuprofen,20 mg,Pantoprazole 20 mg
Capsule,Dolo,250 mg,Diclofenac Sodium 250 mg
Drops,Dolo,20 mg,Diphenhydramine HCl + Ammonium Chloride 20 mg
Drops,Ondansetron,1000 mg,Bromhexine + Guaiphenesin + Terbutaline 1000 mg
Injection,Dolo,20 mg,Insulin Human 20 mg
Syrup,Paracetamol,3 ml,Metformin Hydrochloride 3 ml
Capsule,Dolo,100 ml,Ranitidine 100 ml
Tablet,Ondansetron,100 ml,Paracetamol 100 ml
Drops,Diclofenac,250 mg,Ranitidine 250 mg
Injection,Paracetamol,100 mg,Azithromycin 100 mg
Syrup,Azithromycin,10 ml,Ranitidine 10 ml
Ointment,Diclofenac,10 ml,Metformin Hydrochloride 10 ml
Syrup,Loperamide,10 mg,Acetylsalicylic Acid 10 mg
Syrup,Ibuprofen,5 mg,Bromhexine + Guaiphenesin + Terbutaline 5 mg
Syrup,Levocetirizine,3 ml,Insulin Human 3 ml
Tablet,Ciprofloxacin,100 mg,Ranitidine 100 mg
Injection,Ondansetron,5 mg,Amoxicillin Trihydrate 5 mg
Syrup,Insulin,75 mg,Diclofenac Sodium 75 mg
Injection,Amoxicillin,5 mg,Bromhexine + Guaiphenesin + Terbutaline 5 mg
Capsule,Benadryl,5 mg,Diphenhydramine HCl + Ammonium Chloride 5 mg
